Grapheme	IPA	SCA	FREQUENCY	EXAMPLES
^	NULL		6171	ɟʝ.o;u.ə;m.o;ʔ.a.n.a;a.k.u
$	NULL		6171	ɟʝ.o;u.ə;m.o;ʔ.a.n.a;a.k.u
.	NULL		18866	ɟʝ.o;u.ə;m.o;ʔ.a.n.a;ʔ.a.n.a
!	ǃ	!	16	!.o.b.e;!.a.ŋ;!.i;!.ã.ĩ;!.a.ɾ.i
|	ǀ	!	1	|.o.a
ǀ	ǀ	!	14	ǀ.o.a;ǀ.w.e.e;ǀ.n.ĩ;ǀ.ĩ.ĩ.n.a;ǀ.ã.t.i.m.a
ǁ	ǁ	!	10	ǁ.ĩ.ĩ;ǁ.a.u;ǁ.a.n;ǁ.o.a;ǁ.w.a
ǂ	ǂ	!	4	ǂ.o.w.e.ɾ.u;ǂ.a.e;ǂ.a.e;ǂ.u.i
‖	ǁ	!	2	‖.a.ŋ̩;‖.oˀ.l.i
‼	ǃǃ	!	4	‼.u.‼.u;‼.u.‼.u;‼.h.ã;‼.ũ
!ʔ	ǃʔ	!	3	!ʔ.u;!ʔ.a;!ʔ.a.e
!ʰ	ǃʰ	!	1	!ʰ.u
!ʼ	ǃ’	!	4	!ʼ.u.pʰ.a;!ʼ.a.a.k.a;!ʼ.i.ʔ.e;!ʼ.a.w.e
!χ	ǃχ	!	1	!χ.o.e
ǀʔ	ǀʔ	!	2	ǀʔ.e.e;h.ĩ.ǀʔ.ã
ǀʼ	ǀ’	!	7	ǀʼ.i.n.a;m.a.ǀʼ.a;ǀʼ.a.ǀʼ.ã;ǀʼ.a.ǀʼ.ã;ǀʼ.i.n.a
ǀχ	ǀχ	!	1	ǀχ.a.ɾ.i
ǁʰ	ǁʰ	!	1	ǁʰ.a.t.a
ǁʼ	ǁ’	!	1	ǁʼ.ĩ
ǁˀ	ǁˀ	!	1	ǁˀ.õ.ã
ǂʰ	ǂʰ	!	1	ǂʰ.e.ŋ
ǂχ	ǂχ	!	2	ǂχ.o.o;ǂχ.o.n
ɡ!	gǃ	!	4	ɡ!.a.ʔ.a;ɡ!.o.l.o;ɡ!.oˤ.a;ɡ!.a.e
ɡ|	gǀ	!	3	ɡ|.a.ʔ.a;ɡ|.u;ɡ|.e
ɡǁ	gǁ	!	1	ɡǁ.o.h.a
ɡ‖	gǁ	!	3	ɡ‖.a;ɡ‖.a;ɡ‖.u
‖x	ǁx	!	1	‖x.o.e
‖ʔ	ǁˀ	!	1	‖ʔ.ŋ̩
‖ʰ	ǁʰ	!	1	‖ʰ.a.e
!xˀ	ǃxˀ	!	1	!xˀ.u.i
|ʔʰ	ǀˀʰ/ǀʰ	!	1	|ʔʰ.u.i
ɡ!x	gǃx	!	1	ɡ!x.o.a
‖xˀ	ǁxˀ	!	1	‖xˀ.a.o
‖ʔʰ	ǁʰˀ	!	1	‖ʔʰ.o.ã
‼ʔʰ	ǃǃʰˀ	!	1	‼ʔʰ.a.u
ɡ‖xˀ	ɡ‖xˀ/gǁˀ	!	1	ɡ‖xˀ.a
̃ĩ	̃ĩ	?	0	
a	a	A	3441	ʔ.a.n.a;ʔ.a.n.a;a.k.u;w.a.t.a.s.i;w.a.t.a.s.i
ã	ã	A	132	ɡ.e.ʔ.ã;kʲ.ã.ã;kʲ.ã.ã;ʃ.ã.x.ɨ;kʰ.ãˀ.kʰ.ã
ă	ă	A	11	ɗ.ă.ŋ;m.ă.w;m.ă.t;n.ă.ŋ;z.ă.j
ɑ	ɑ	A	119	n.ɑ.mb.ɑ;n.ɑ.mb.ɑ;e.mb.ɑ;mb.ɑ.ɑ;mb.ɑ.ɑ
ae	ae	A	1	k.ae
ai	ai	A	4	ɴq.ai;ʐ.ai;h.ai;mpˡ.ai
ao	ao	A	3	m.ao;ɲ.ao;n̥.ao
aˀ	aˀ	A	4	kʰ.aˀ.tʲ;aˀ;w.aˀ.kʲ;w.aˀ.tsʰ.u
aː	aː	A	190	tʃ.aː.n;u.n.i.j.aː.l.u.k;d.i.ɾ.aː.ʕ;k.aː.n;t.aː.mb.a
aˤ	aˤ	A	1	m.aˤ
a̰	a̰	A	48	w.a̰;ɬ.k.a̰.k.a̰;ɬ.k.a̰.k.a̰;a̰.ʔ.w.ḛ;s.ḛ̃.e.b.a̰
ãˀ	ãˀ	A	2	kʰ.ãˀ.kʰ.ã;kʲ.ãˀ.h.ĩ
ãː	ãː	A	3	ɬ.eː.tʃʰ.ãː.ʔ.i;tʼ.ãː.ʔ;kʼ.ãː.ɬ
ã̰	ã̰	A	2	ã̰;k.ã̰
ɑo	ɑo	A	2	k.ɑo;n.ɑo
ɑː	ɑː	A	12	s.ɑː.j.oː.l;ɑː.t.i.m.i;t.ɔ.qː.u.s.ɑː.q;n.u.t.ɑː.q;ʃ.ɑː.l
a̰ː	a̰ː	A	8	q.a̰ː.ɬ.u.a̰ː.t;q.a̰ː.ɬ.u.a̰ː.t;t.ṵ.w.a̰ː.n;ɬ.m.a̰ː.n;s.q.a̰ː.q.n.a̰
f	f	B	106	f.ë.j;f.i;t.r.u.f.k.e.n;f.u.l.ə.ŋ.ɡ.i;s.u.m.o.f
v	v	B	74	tʃʼ.i.a.n.tʃʼ.v.e.l.a;j.ə.r.x.u.v.ə;m.kʼ.l.a.v;pʰ.r.i.n.v.e.l;ʃ.a.v
ɸ	ɸ	B	16	s.a.ɸ.e;ɸ.a.r.i;t.a.ɸ.o.x;ɸ.ĩ.sʲ;m.o.o.ɸ
β	β	B	17	i.β.o;β.i.tsʲ.a.k.w.e;β.a.k.ɯ;p.a.β.i.k.i;β.ɯ.r.o
fʷ	fʷ	B	8	w.e.fʷ;ʔ.a.fʷ.e.n.tʃ.e;a.t.u.fʷ.e.j;l.a.fʷ.e.ts.i;j.a.fʷ.i.t
fˀ	fˀ	B	4	fˀ.i.tsˀ.ə;m.a.fˀ.ə;fˀ.i;ʔ.ə.fˀ
fː	fː	B	1	n.i.k.ɔ.fː.a
ɸʲ	ɸʲ	B	1	j.e.ɸʲ
c	c	C	12	c.y.l̴;c.e.m.i.c;c.e.m.i.c;c.œ.p.e.c;c.œ.p.e.c
ɟ	ɟ	C	19	h.ɔ.n.ɟ.ɔ;n.ɔ.ɟ;ɟ.œ.y.s;ɟ.ɛ.r.ɛ.k;ɟ.œ.z
dz	dz	C	13	dz.o;dz.v.a.l;dz.a.ɣ.l;b.dz.ə.ʑ.j.ə.j;b.a.dz.ə
dʑ	dʑ	C	10	dʑ.a;dʑ.e;dʑ.ʌ.dʑ;dʑ.ʌ.dʑ;dʑ.o.h
ts	ts	C	154	ʔ.ɨ.ts;m.i.ts;h.a.h.ts.u.k;i.ʔ.ts.o.t.ɨ.x;ts.a.o
tɕ	tɕ	C	18	tɕ.ɔ;tɕ.i.m;tɕ.ɔ;tɕ.ɯ.ŋ;l.tɕ.i
ɖʐ	ɖʐ	C	11	ɖʐ.u.i.;u.ɖʐ.ə.n;a.ɖʐ.i.ɡ.ə;ɖʐ.a.n.ʈʂ.u.x.ɔ.n;ɖʐ.i.r.a.m.i.n
ɟʝ	ɟʝ	C	2	ɟʝ.o;a.ɟʝ.e.ɾ
ʈʂ	ʈʂ	C	21	ʈʂ.e.n;ʈʂ.ë.w.ɜ;k.ɘ.ʈʂ.ɜ.l;ʈʂ.u.ŋ;ʈʂ.e
tsʔ	tsˀ	C	2	t.o.tsʔ.a.q;h.i.tsʔ.e
tsʰ	tsʰ	C	12	tsʰ.i.s.kʰʷ.a;tsʰ.a.ŋ;k.a.n.e.tsʰ.i;k.u.tsʰ.ɨ.kʷ.a;ɨ.w.e.tsʰ.e
tsˀ	tsˀ	C	5	χʷ.m.pˀ.ə.tsˀ.ə.dʒ;fˀ.i.tsˀ.ə;tsˀ.e;tsˀ.ə;tsˀ.i.kˀʷ
ts̥	ts̥	C	2	b.e.l.ts̥;a.r.a.u.l.ts̥.a
ts̺	ts̺	C	2	a.u.ts̺;i.ɾ.e.n.ts̺.i
ts̻	ts̻	C	4	ɡ.a.ts̻;e.n.ts̻.u.n;o.r.ts̻;a.ts̻.o
tɕʰ	tɕʰ	C	3	tɕʰ.i;tɕʰ.y;tɕʰ.i
ʈʂʰ	ʈʂʰ	C	7	ʈʂʰ.ou;ʈʂʰ.a.ŋ;ʈʂʰ.a;ʈʂʰ.u.i;ʈʂʰ.uɑ
ð	ð	D	20	n.iː.ð.a;k.iː.ð.a;w.iː.ð.a;iː.ð.i.k;p.i.ð.iː.s.iː.s
θ	θ	D	11	b.ɾ.a.θ.o;θ.e.n.i.θ.a;θ.e.n.i.θ.a;θ.u.n.o;p.e.θ
V	V/ə	E	5	d.V.ɕ.a.r.a.ɡ.i.n;ʃ.V.l;ɡ.V;d.V.ɡ.u.r.ɡ.u.n;d.V.j.a.l
e	e	E	991	b.e.n;ʃ.e;m.e;n.e;a.j.e.m
æ	æ	E	6	ʔ.j.æ.;t.h.æ.n.i;l.æ.n.kʼ.u;p.æ.tʼ.i;ʔ.b.æ.tʼ.i
ë	ë	E	25	ɪ.ɲ.tʃ.ë;ë.j.m.ɪ;f.ë.j;p.ɘ.ɲ.ë.ɲ;ʈʂ.ë.w.ɜ
ɐ	ɐ	E	4	ʃ.ɐ;x.ɐ;t.ɐ.d.ɲ;f.ɐ.ɾ
ɘ	ɘ	E	37	k.i.ɘ.n;f.ɘ.tʃ.ɜ;ɘ.ɲ.ɘ.m;ɘ.ɲ.ɘ.m;m.ʊ.k.ɘ.r
ə	ə	E	330	u.ə;s.ə;w.u.n.ə;tʰ.ə;w.ə
ɛ	ɛ	E	104	t.ɛ;ɖ.ɛ.w.ɛ.k.e;ɖ.ɛ.w.ɛ.k.e;ɛ.n;h.ɛ.ʔ
ɜ	ɜ	E	58	k.ö.ʎ.ɜ.ʎ.ɜ;k.ö.ʎ.ɜ.ʎ.ɜ;l.ɪ.p.ɜ.n;t.a.l.ɜ.q;f.ɘ.tʃ.ɜ
ɤ	ɤ	E	4	t.ɾ.ɤ;ɤ;m.ɤ.j;z.ɤ.j
ʌ	ʌ	E	35	n.ʌ;p.j.ʌ;dʑ.ʌ.dʑ;w.a.qʼ.ʌ.tʃ;m.ʌ.l
ḛ	ḛ	E	4	a̰.ʔ.w.ḛ;b.ḛ.e;j.ḛ.b.e.d.o;p.ḛ.a.t.ɨ
ẽ	ẽ	E	27	a.k.e.k.ẽ;ẽ.ŋ.k.a.r.r.a;x.e.ʔ.ẽ.mb.ɨ;m.e.n.d.ẽ;d.r.ũ.l.ẽ
eu	eu	E	6	t.eu;t.eu;t.eu;nt.eu;t.eu
eˀ	eˀ	E	2	m.eˀ.kʲ;l.eˀ.tsʲ
eː	eː	E	61	n.eː.n.u;eː.n;ɑ.ʃ.k.a.n.eː.l.i;k.o.b.eː;ɬ.eː.ʃ.tʃʼ.i.h
ɐ̃	ɐ̃	E	15	ɐ̃;p.ɐ̃.n.ĩ;p.i.ɾ.ɐ̃;ŋ.ɐ̃.ɲ;t.ɐ̃.m.ɛ̃
əː	əː	E	4	uː.s.əː.ʔ.i;d.əː.s;u.lʲ.əː;ə.nʲ.əː
ə̃	ə̃	E	1	i.ə̃
ɛː	ɛː	E	5	kʰ.ɛː.n;s.ɛː.n;k.ɛː;d.ɛː.ŋ;b.ɛː.k
ɛ̃	ɛ̃	E	18	m.b.ɾ.ɛ̃.j;k.ɾ.ɛ̃;n.ĩ.ŋ.ɡ.ɾ.ɛ̃.ŋ;k.a.d.n.ɛ̃;p.ɛ̃.n
ɜː	ɜː	E	2	m.ɜː.ʁ.ɑ.q;s.ɜː.q.ɔ.q
ɤ̆	ɤ̆	E	7	tɕ.ɤ̆.n;z.ɤ̆.n;z.ɤ̆.j;ɗ.ɤ̆.t;z.ɤ̆.w
ḛː	ḛː	E	1	ts.ḛː.q
ḛ̃	ḛ̃	E	4	s.ḛ̃.e.b.a̰;w.ḛ̃.ʔ.ḛ̃;w.ḛ̃.ʔ.ḛ̃;j.ḛ̃.e
ẽˀ	ẽˀ	E	1	w.ẽ.s.ẽˀ.h
x	x	G	320	x.i;x.ɨ.a;x.a.n.ɨ̃;t.x.ɨ.ʔ;x.u.m.a
ɣ	ɣ	G	26	q.a.ts.i.ɣ.a.k;ɣ.i.t;a.m.aː.m.a.ɣ.a.q;dz.a.ɣ.l;aː.l.i.s.a.ɣ.ɑ.q
χ	χ	G	26	ɢ.a.s.χ.a;ɢ.o.s.i.χ.o.n;tʃ.a.l.a.χ;s.a.χ.a.l.;a.s.i.n.o.χ
xʲ	xʲ	G	2	tʃ.œː.xʲ;s.ɛ.lʲ.xʲ
χʷ	χʷ	G	2	χʷ.m.pˀ.ə.tsˀ.ə.dʒ;p.ʃ.a.χʷ.ə
h	h	H	441	ŋ.o.h.i;h.a.p.u;i.h.i;n.i.h.i;h.u.w.w.a
ħ	ħ	H	22	qʷ.p.ɕ.ħ.ə;ħ.ə;t.ħ.ə.kˀʷ.m.ə;l.a.ħ.m.a;ɕ.ħ.ə.ts
ʔ	ʔ	H	375	ʔ.a.n.a;ʔ.ɨ.ts;tʃ.a.m.a.ʔ;t.x.ɨ.ʔ;a.n.o.ʔ
ʕ	ʕ	H	13	d.i.ɾ.aː.ʕ;ʕ.a.dˤ.m;ʕ.a.j.j.i.l ;ʕ.eː.n;b.i.ʕ.eː.d
ʡ	ʡ	H	3	t.i.ʡ.iː.l;ɾ.a.ʡ.a.b.a;ʡ.l
hʲ	hʲ	H	5	hʲ.uʔ.h;w.e.hʲ;hʲ.ũ.k.w.e.t;hʲ.uˀ.h;w.e.hʲ.a
ʔʲ	ʔʲ	H	1	ʔʲ.a.χ
ʔʷ	ʔʷ	H	8	ʔʷ.i.j.i.s;ʔʷ.a.h.a.t;t.o.ʔʷ.u.l.e.j;l.a.ʔʷ.e.t;ʔʷ.u
i	i	I	1992	w.a.t.a.s.i;i.n;n.i;t.i;ŋ.o.h.i
ĩ	ĩ	I	86	ǁ.ĩ.ĩ;ǁ.ĩ.ĩ;a.m.ã.ĩ;n.ĩ.ŋ.e;p.ɐ̃.n.ĩ
ɨ	ɨ	I	374	ʔ.ɨ.ts;x.ɨ.a;u.u.r.ɨ;n.ɨ.b.a;j.ɨ̰.ɨ
ɪ	ɪ	I	34	ɪ.ɲ.tʃ.ë;ë.j.m.ɪ;l.ɪ.p.ɜ.n;f.ʊ.ʐ.ɪ;w.ɪ.ɲ.ɔ
ɯ	ɯ	I	79	ɯ.a;k.a.ɾ.ɯ.n.dʒ.a;ɯ.d.e;m.ɯ;l.ɯ.ŋ
ḭ	ḭ	I	30	w.ḭ.ʃ;ŋ.u.tʃ.ḭ.ʔ.a;ts.ḭ.ts.a̰.q.a;q.a̰.ɬ.n.ḭ;d.ḭ.ʔ.a
iə	iə	I	2	ŋ.iə.n;ɓ.iə.t
iˀ	iˀ	I	3	dʲ.iˀ.tʰ;n.tsʲ.iˀ.k;k.iˀ.tʰ
iː	iː	I	123	b.iː;n.iː.ð.a;tʃʰ.iː;k.iː.ð.a;w.iː.ð.a
i̥	i̥	I	1	a.t.t.i̥.ʃ
ĩː	ĩː	I	11	ʃ.ĩː.ɬ;tʃ.ĩː.h;tʰ.ĩː.ɬ;ʃ.ĩː.h;ɣ.ĩː.ɬ
ɨː	ɨː	I	5	k.ɨː;h.ɨː.h.ɨ;n.ɨː.j.i;a.j.ɨː.x.a;ʋ.ɨː.d.o
ɨ̃	ɨ̃	I	21	x.a.n.ɨ̃;x.a.m.ɨ̃;p.o.n.ɨ̃;n.a.ʔ.ɨ̃.p.a;b.i.d.i.k.ɨ̃.h.ɨ
ɨ̥	ɨ̥	I	5	t.ʃ.ɨ̥.t.t.i;p.u.n.s.ɨ̥;t.ʃ.ɨ̥;k.ɨ̥;k.ɨ̥.s.u
ɨ̰	ɨ̰	I	9	j.ɨ̰.ɨ;b.ɨ̰.ɨ;ã.p.ɨ̰.ʔ.ɨ;d.ɨ̰.p.o;d.ɨ̰.k.o
ɯə	ɯə	I	6	s.ɯə.ŋ;l.ɯə;m.ɯə;k.ɯə.j;l.ɯə.j
ɯ̃	ɯ̃	I	2	n.ɯ̃.k.ɯ;β.ɯ̃.õ
ḭː	ḭː	I	4	s.k.ḭː.t.ḭ;ts.ḭː.s.n.ḭ;l.iː.ts.ḭː;s.ḭː.m.a̰.q.a̰ː.t
ḭ̃	ḭ̃	I	3	t.ḭ̃.a;s.ḭ̃.d.i;ḭ̃.y.a
j	j	J	504	t.o.j;n.a.j.a;t.a.j.a;j.a.ŋ;a.j.e.m
ɥ	ɥ	J	2	ɥ.i.ʃ.t.ĩ;h.i.ɥ.i
ɰ	ɰ	J	6	t.u.ɰ.u.ɨ;i.ɰ.ɯ;o.ɰ.a.p.ɨ;x.a.ɰ.u.ɨ.n.o;ɰ.ɯ.s.t.i.o.r.a
ɰʷ	ɰʷ	J	6	k.u.s.u.ɰʷ.e;ɰʷ.ɨ.ɾ.a;dʲ.a.ɰʷ.a;t.o.ɰʷ.e;a.ŋɡ.e.t.e.ɰʷ.a
Q	Q/q	K	1	s.i.Q.p.o
k	k	K	1305	a.k.u;k.o;k.a;k.o.w.e;k.ɑo
q	q	K	148	ɲ.u.q.a;q.a.m;q.a.ɡ.e.s.a.q;q.a.ɡ.e.s.a.q;t.a.l.ɜ.q
ɡ	g	K	275	n.u.ɡ.a;w.u.n.ɡ.a;ɡ.e.ʔ.ã;o.ɾ.m.i.ɡ.a;ɡ.e.m.i
ɢ	ɢ	K	22	ɢ.a.l.a;ɢ.a.s.χ.a;ɢ.o.s.i.χ.o.n;ɢ.o.r.o;l.o.t.a.ɢ.a.ɲ.i
kp	kp	K	1	a.kp.a
kx	kx	K	2	kx.o.o;kx.a.u
kʔ	kʔ	K	2	t.o.kʔ.a.χ;l.a.kʔ.e
kʰ	kʰ	K	58	kʰ.a.w;kʰ.ãˀ.kʰ.ã;kʰ.ãˀ.kʰ.ã;kʰ.ɛː.n;x.a.kʰ.i
kʲ	kʲ	K	5	kʲ.ã.ã;m.eˀ.kʲ;tʲ.h.i.kʲ;w.aˀ.kʲ;kʲ.ãˀ.h.ĩ
kʷ	kʷ	K	30	t.kʷ.e;k.o.p.a.ɽ.a.kʷ.a;kʷ.i.n.i;i.ts.u.kʷ.a;k.u.tsʰ.ɨ.kʷ.a
kʼ	kʼ	K	49	s.i.kʼ.i.m.i.r.a;kʼ.i.s.i.m.i.r.a;m.kʼ.l.a.v;kʼ.a;kʼ.a.ʎ.kʼ.u
qʰ	qʰ	K	5	qʰ..i.ʎ.a;qʰ.u.l.u;l.a.qʰ.i;n.a.qʰ.a;tʃʰ.i.qʰ.a
qʷ	qʷ	K	4	qʷ.a.l.ə.b.z.w;qʷ.p.ɕ.ħ.ə;qʷ.ə.p.s;qʷ
qʼ	qʼ	K	17	qʼ.a.b;qʼ.e.q;qʼ.u.r;w.a.qʼ.ʌ.tʃ;qʼ.a.qʼ
qː	qː	K	3	t.ɔ.qː.u.s.ɑː.q;s.i.j.ɔ.qː.a.t;t.ɔ.qː.ɔ
ɡb	gb	K	4	a.ɡb.a;ɡb.ɔ;ɡb.a;ɡb.o.r.o
ɡʷ	gʷ	K	3	ɮ.ə.ɡʷ.a.ʑ.ə;ɕˀ.i.ɡʷ.ɮ;b.z.ə.ɡʷ
ɡ‼	gǃǃ	K	3	ɡ‼.a.ʔ.ŋ̩;ɡ‼.a.h.a;ɡ‼.a
kxˀ	kxˀ	K	2	kxˀ.a;kxˀ.a
kʰʷ	kʷʰ	K	2	e.kʰʷ.a;tsʰ.i.s.kʰʷ.a
kʷʰ	kʷʰ	K	2	kʷʰ.i.r.i.p.e.t.a;kʷʰ.e.ts.a.p.e
kˀʷ	kʷˀ	K	5	t.ħ.ə.kˀʷ.m.ə;tsˀ.i.kˀʷ;q.ə.kˀʷ.ə;kˀʷ;ʁ.ə.p.ɕ.kˀʷ
ɡ‼ʰ	gǃǃʰ	K	2	ɡ‼ʰ.o.e;ɡ‼ʰ.a.b.a
l	l	L	583	ŋ.a.j.u.l.u;e.l;l.ə;p.a.l.u.ɽ.u;n.a.m.l
ɬ	ɬ	L	66	ˀn.ɬ.a.m;ɬ.a.m;t.o.s.ə.t.a.ɬ.i;ɬ.k.a̰.k.a̰;ɬ.eː.ʃ.tʃʼ.i.h
ɭ	ɭ	L	29	p.u.ɭ.k.a;t̻.u.ɭ.p.u;m.i.l.k.a.ɭ.i;ɭ.a.ɭ.ə.ɽ;ɭ.a.ɭ.ə.ɽ
ɮ	ɮ	L	7	ɮ.i;ɮ.i;ɮ.ə.ɡʷ.a.ʑ.ə;ɮ.ə;p.ɮ.i.ʑ
ʎ	ʎ	L	38	k.ö.ʎ.ɜ.ʎ.ɜ;k.ö.ʎ.ɜ.ʎ.ɜ;qʰ..i.ʎ.a;kʼ.a.ʎ.kʼ.u;m.ö.ʎ.f.ɘ.n
lʲ	lʲ	L	2	u.lʲ.əː;s.ɛ.lʲ.xʲ
