Meaning	Indo-European/ Spanish [spa]	Sino-Tibetan/ Mandarin Chinese [cmn]	Niger-Congo/ Yoruba [yor]	Afro-Asiatic/ Egyptian Spoken Arabic [arz]	Austronesian/ Javanese [jav]	Dravidian/ Telugu [tel]	Turkic/Turkish [tur]	Japonic/ Japanese [jpn]	Austroasiatic/ Vietnamese [vie]	Tai-Kadai/ Thai [tha]	Koreanic/ Korean [kor]	Nilo-Saharan/ Dholuo [luo]	Uralic/ Hungarian [hun]	Hmong-Mien/ Chuanqiandian Cluster Miao [cqd]	Quechuan/ South Bolivian Quechua [quh]	Mongolic/ Peripheral Mongolian [mvf]	N Caucasian/ Kabardian [kbd]	Mayan/ Kʼicheʼ [quc]	Tupian/ Paraguayan Guarani [gug]	Kartvelian/ Georgian [kat]	Trans-New Guinea/ Enga [enq]	Uto-Aztecan/ Eastern Huasteca Nahuatl [nhe]	Aymaran/ Central Aymara [ayr]	Otomanguean/ Meqzuital Otomi [ote]	Maipurean/ Wayuu [guc]	Basque/ Basque [eus]	Chibchan/ Ngäbere [gym]	Totonacan/ Highland Totonac [tos]	Khoe-Kwadi/ Khoekhoe [naq]	West Papuan/ Galela [gbi]	Mapudungu/ Mapudungun [arn]	Tarascan/ Western Highland Purepecha [pua]	Algic/ Woods Cree [cwd]	Eyak-Athabaskan/ Navajo [nav]	Mixe-Zoquean/ Highland Popoluca [poi]	Sepik/ Ambulas [abt]	Misumalpan/ Mískito [miq]	Jivaroan/ Shuar [jiv]	Chocoan/ Northern Emberá[emp]	Torricelli/ Bukiyip [ape]	Kxʼa/ Northwestern !Kung [vaj]	Eskimo-Aleut/ Greenlandic [kal]	Burushaski/ Burushaski [bsk]	East Birdʼs Head-Sentani/ Sentani [set]	South Bougainville/ Terei [buo]	Cariban/ Macushi [mbc]	Ramu-Lower Sepik/ Ap Ma [kbx]	Paezan/ Páez [pbb]	Matacoan/ Wichí Lhamtés Vejoz [wlv]	Sandawe/ Sandawe [sad]	Tungusic/ Xibe [sjo]	Guaykuruan/ Toba [tob]	Ticuna/ Ticuna [tca]	Jean/ Kaingang [kgp]	Australian/ Pitjantjatjara [pjt]	Guajiboan/ Guahibo [guh]	Panoan/ Shipibo-Conibo [shp]	Yanomaman/ Yanomamö [guu]	Tucanoan/ Tucano [tuo]	Warao/ Warao [wba]	Barbacoan/ Awa-Cuaiquer [kwi]	Maybrat/ Mai Brat [ayz]	Sálivan/ Piaroa [pid]	Border/ Amanab [amn]	Muskogean/ Choctaw [cho]	Iroquoian/ Cherokee [chr]
1SG pronoun	ɟʝ.o	u.ə	m.o	ʔ.a.n.a	a.k.u	n.eː.n.u	b.e.n	w.a.t.a.s.i	t.o.j	tʃʰ.a.n	n.a	a	eː.n	k.o	ɲ.u.q.a	b.iː	s.ə	i.n	ʃ.e	m.e	n.ɑ.mb.ɑ	n	n.a.j.a	n.u.ɡ.a	t.a.j.a	n.i	t.i		t.a	ŋ.o.h.i	ɪ.ɲ.tʃ.ë	x.i	n.iː.ð.a	ʃ.i	ʔ.ɨ.ts	w.u.n.ə	j.a.ŋ	x.ɨ.a	m.ʉ̃		m.a	u.w.a.ŋ.a	dʑ.a	d.a	n.e	u.u.r.ɨ	n.ɨ.b.a	a.ndʲ	ˀn.ɬ.a.m	tʃ.i	b.i	a.j.e.m	tʃ.a.m.a.ʔ	i.d.ɲ	ŋ.a.j.u.l.u	x.a.n.ɨ̃	ɯ.a	j.a	j.ɨ̰.ɨ	i.n.e	n.a	dz.o	t.x.ɨ.ʔ	k.a	a.n.o.ʔ	a.j.a
2SG pronoun	t.u	n.i	o	ʔ.i.n.t.a	k.o.w.e	n.u.w.w.u	s.e.n		m.a.j	tʰ.ə	n.ʌ	i.n	t.ɛ	k.ɑo	q.a.m	tʃʰ.iː	w.ə	a.t	n.e	ʃ.e.n	e.mb.ɑ	t	x.u.m.a	n.u.ʔ.i	p.i.a	s̥.u	m.o	w.ḭ.ʃ	s	ŋ.o.n.a	ë.j.m.ɪ	tʰ.u 	k.iː.ð.a	n.i	m.i.ts	ɲ.ə.n	m.a.n	a.m.ɨ	b.ʉ		b.a	i.ɬː.i.t	u.n	w.a	r.o	a.m.ɨ.r.ɨ	w.u.n.ɡ.a	i.ndʲ	a.m	h.a.p.u	s.i	ʔ.a.m	k.u.ʔ.ɨ	ɐ̃	n̻.u.n.t.u	x.a.m.ɨ̃	m.i.a	w.a	b.ɨ̰.ɨ	i.h.i	n.u	ɲ.o	k.u.ʔ	n.e	tʃ.i.ʃ.n.o.ʔ	n.i.h.i
3SG pronoun	e.l	tʰ.a	o	h.u.w.w.a	ɖ.ɛ.w.ɛ.k.e	a.t.a.n.u	o		n.ɔ	kʰ.a.w		ɛ.n	øː	n.i	p.a.j		a.r	a.r.e.ʔ	x.a.ʔ.e	i.s	mb.ɑ.ɑ	j	x.u.p.a	ɡ.e.ʔ.ã	ʃ.i.a	a.ɾ.e.k	i.w.e	w.a̰	ǁ.ĩ.ĩ	u.n.a	f.ë.j	i.m.a	w.iː.ð.a	p.i	h.ɛ.ʔ	l.ə	b.a	a.u	i.dʒ.i		h.a	u.n.a	n.e	n.a	a.k.o	m.ɨ.ɨ.k.ɨ.r.ɨ	m.ɨ.b.a	kʲ.ã.ã	ɬ.a.m	h.e.s.u	t.ə.r.ə	m.a.ʒ.e	n.ɨ.m.a.ʔ	f.i	p.a.l.u.ɽ.u	p.o.n.ɨ̃	h.a	p.ə	k.ɨː	t.a.o	u.s	a.i.t	j.a.x.u.x	e.h.e		n.a.s.k.i
ant	o.ɾ.m.i.ɡ.a	m.a.i	ɛ.ɛ.r.a	n.a.m.l	ʂ.ə.m.u.t	tʃ.iː.m.a	k.a.ɾ.ɯ.n.dʒ.a	a.r.i	k.i.ɘ.n	m.o.t	ɡ.e.m.i	b.i.j.e	h.ɔ.n.ɟ.ɔ	ɳʈʂ.ou	s.i.kʼ.i.m.i.r.a		χʷ.m.pˀ.ə.tsˀ.ə.dʒ	s.a.n.i.k	a.k.e.k.ẽ	tʃʼ.i.a.n.tʃʼ.v.e.l.a	ɑ.ɽ.u.m.ɑ.ɽ.i	ɑ.ʃ.k.a.n.eː.l.i	kʼ.i.s.i.m.i.r.a	ʃ.ã.x.ɨ	x.e.j.uː	s̥.i.n.a.u.r.i	ŋ.a.ɲ.a	tʃ.aː.n	ǂ.o.w.e.ɾ.u	ɡ.u.l.u.d.u	k.ö.ʎ.ɜ.ʎ.ɜ	ʃ.ɨ.r.u.k.i	iː.ð.i.k		h.a.h.ts.u.k		p.a.p.u	tʃ.i.n.k.i.a.m.a.r	k.a.a.b.u.d.ɨ.dʼ.ɨ		‼.u.‼.u	u.n.i.j.aː.l.u.k	p.i.l.i.l.i	n.u.m.b.ɛ	k.u.n.n.a	m.i.h.k.ɨ	j.i.l.i	kʰ.ãˀ.kʰ.ã	s.i.w.a.n̥.a.s	p.ã.b.u	j.ə.r.x.u.v.ə	q.a.ɡ.e.s.a.q	d.u.ɾ.u	p.e.t.k.ɾ.i.ɡ.ŋ	m.i.ŋ.a	a.m.ã.ĩ	i.β.o	k.o.j.e	b.e.k.a	m.u.h.a	i.m	i.i	i.ʔ.ts.o.t.ɨ.x	h.o.m.p	ʃ.u.k.a.n.i	t.o.s.ə.t.a.ɬ.i
arm/hand	b.ɾ.a.θ.o	p.i	a.kp.a	d.i.ɾ.aː.ʕ	l.ə.ŋ.ə.n	tʃ.e.j.j.i	k.o.l̴	ɯ.d.e	t.a.j	kʰ.ɛː.n	pʰ.a.l	b.a.t	k.ɔ.r	t.e	m.a.k.i	k.a.r	ʔ.ə	qʼ.a.b	dʲ.ɨ.ʋ.a	m.kʼ.l.a.v	k.i.ŋɡ.i	m.a.h	a.m.p.a.r.a	ʔ.j.æ.	a.t.ɨ.n.a	b.e.s.o	k.i.s.e	m.a.k.a	ǁˀ.õ.ã	ɡ.i.a	l.ɪ.p.ɜ.n	x.a.kʰ.i	s.p.i.t.w.a.n	k.aː.n	h.a.ʔ.ŋ.k.u	t.aː.mb.a	m.i.t.a	ɨ.w.ɨ.x	h.ʉ.w.a.a		‼.h.ã	t.a.l.ɜ.q	ɕ.a.k	m.ə	a.k.u	j.e.m.e.h.k.ɔ.n	l.a.p.o.n.ɡ	k.u.s.e	t.kʷ.e	tlʼ.ũ.ũ	ɢ.a.l.a	w.a.q	tʃ.a.k.ɨ.ʔ.ɨ	n.ĩ.ŋ.e	m.i.ɳ.a	k.o.b.eː	m.ɯ	i.m.i.k.ɨ	a.b.u	h.a.ɾ.a	t.ʃ.ɨ̥.t.t.i	n.a.t.e.m	tʃ.u.x.m.u.ɨ.x	n.i.ŋ.a	i.b.b.a.k	kʰ.a.n.o.k.e.n.i
ash	θ.e.n.i.θ.a	h.u.ə.i	ɛ.ɛ.r.u	ɾ.a.m.aː.d	a.w.u	b.uː.ɽ.i.d.a	c.y.l̴	h.a.i	tɕ.ɔ	tʰ.a.w	dʑ.e	b.u.r.u	h.ɔ.m.u	ʈʂʰ.ou	u.tʃ.pʰ.a	u.n.s	j.a.ʑ.ə	tʃ.a.x	k.u.s.u.ɰʷ.e		i.t.ɑ.t.e		qʰ..i.ʎ.a	ʔ.b.o.s.p.i	p.a.ɺ.i.ʔ.i	a.u.ts̺	ŋ.u.b.r.ũ	ɬ.k.a̰.k.a̰	ts.a.o	ɡ.a.a.p.o		t.r.u.f.k.e.n	p.i.h.k.o.t.iː.w	ɬ.eː.ʃ.tʃʼ.i.h		mb.a.w.u	j.a.m.p.u.s	j.u.n.k.u.n.i.m	n.t.a.r.r.a		ɡǁ.o.h.a	a.r.s.a.t	pʰ.e.t	o.d.o.w.a.j	p.e.u	r.u.n.ɨ.p.ɨ	w.o.k.a	kʰ.u.u.ts		!ʼ.u.pʰ.a	f.u.l.ə.ŋ.ɡ.i	h.a.l.o	n.a.ʔ.ɨ̃.p.a	m.b.ɾ.ɛ̃.j	i.p.a	iː.p.u.m.ã.n.ã	tʃ.i.i.m.a.p.o		d.o.h.a	h.e.h.u.h.u	i.m	b.o.x	a.ɲ.a.ɾ.i.ʔ.ts.a.ʔ	s.u.m.o.f	ʃ.i.n.a.p	k.o.s.t.ɨ
back	e.s.p.a.l.d.a	p.ə.i	ɛ.j.i.n	dˤ.a.h.ɾ	ɡ.ə.ɡ.ə.ɽ	w.e.n.n.u	a.ɾ.k.a	s.e	l.ɯ.ŋ	l.a.ŋ	d.ɨ.ŋ	t.o.k	h.aː.t	e	w.a.s.a	n.ʊ.r.ʊː	t.x.i	r.i.x	k.u.p.e	z.u.r.ɡ	m.ɑ.i.t.ɑ		a.t.i	ʃ.ɨ.t.h.a	a.s.a.p.ɨ	b.i.s̥.k.a.r	t.ɾ.ɤ		ŋ̊ǁˀ.ã.ã	d.u.d.u	f.ʊ.ʐ.ɪ	k.o.p.a.ɽ.a.kʷ.a	s.p.i.s.k.w.a.n		t.u.ʔ.ɲ.i	mb.u.t.ŋɡ.u.l	n.i.n.a	t.u.n.t.u.p	ẽ.ŋ.k.a.r.r.a		!.o.b.e	q.a.ts.i.ɣ.a.k	w.a.l.d.e.s	m.o.k.o.d.u	n.o.m.o	m.ɔ.p.ɔ	l.o.m.o.t	ts.i.ndz	t.o.w̥.u	dʒ.a.n.dʒ.a	f.i.s.a	l.a.q	a̰.ʔ.w.ḛ	p.ɐ̃.n.ĩ	t̻.a.ɳ.a	h.u.m.ã	p.ɯ.k.a	h.ə.m.a.p.ɨ	s.ḛ̃.e.b.a̰	d.a.i	p.u.n.s.ɨ̥		tʃ.u.ɾ.u.ʔ.p.ɛ.x.k.e.x	m.a.s.i.ɡ	n.a.l.i.ʔ	k.a.s.o.h.i
big	ɡ.ɾ.a.n	t.a	n̩.l.a	k.i.b.iː.ɾ	ɡ.ə.ɖ.e	p.e.d.d.a	i.ɾ.i	oː.k.i	t.ɔ	j.a.j	kʰ	m.a.ŋ.ɔ.n.ɡ.ɔ	n.ɔ.ɟ	l.o	h.a.t.u.n	i.x	i.n	n.i.m	e.ɾ.a.d.o	d.i.d.i	ɑ.nd.ɑ.k.e	w.eː.i	x.a.tʃʼ.a	d.ã.n.ɡ.i	m.i.j.o.ʔ.u	a.u.n.d.i	k.ɾ.i	t.l.a.n.k.a̰	k.a.i 	l.a.m.o	f.ɘ.tʃ.ɜ	kʰ.e.n.i	m.i.s.i.k.i.t.iː	ts.o	m.ɨ.h	a.p.a.k.ə.l.ə	t.a.r.a	uː.n.t	o.a.i.b.ʉ.a		!.a.ŋ	a.ŋ.i.s.ɔː.q	n.j.u	k.a.b.a.m	e.k.e	k.u.r.e.h.n.a.n	ɲ.a.a.m	w.a.l.a	w.e.fʷ	b.a.ʔ	a.m.b.a		t.a	e.x.e	p.u.ɭ.k.a	p.i.n.ĩ.h.ĩ	a.n.i	p.a.t.a	p.a.h.i	i.ɾ.a	k.a.t.s.a	m.a.b.o.x	ɾ.i.a.ʔ.a.ʔ	k.w.a.n.i.a	tʃ.i.t.o	e.kʰʷ.a
bird	a.b.e	n.i.a.u	e.j.e	tˤ.eː.ɾ	m.a.n.u.k	k.iː.ɾ.a.m	k.u.ʃ	t.o.r.i	tɕ.i.m	n.o.k	sʰ.e	w.ɪ.ɲ.ɔ	m.ɔ.d.aː.r	n.o.ŋ	pʼ.i.s.q.u	ʃ.ʊ.p.ʊː	qʷ.a.l.ə.b.z.w		ɰʷ.ɨ.ɾ.a	pʰ.r.i.n.v.e.l	j.ɑ.k.ɑ	t.oː.t.oː	x.a.m.a.tʃʼ.i	tsʼ.i.n.tsʼ.ɨ	w.u.tʃ.iː	tʃ.o.ɾ.i	n.u.k.u.o	s.p.uː.n	a.n.i	n.a.m.o	ɘ.ɲ.ɘ.m	kʷ.i.n.i	p.i.ð.iː.s.iː.s	ts.i.d.iː	h.ɔ.n	a.p.i	t.n.a.w.i.r.a	n.a.n.a.m.t.i.n	ĩ.m.b.a.n.a		tʃˀ.a.m̩	ts.i.mː.i.j.a.q	ʈʂ.e.n	a.j.e	p.e.r.e.k.u.p.a	t.ɔ.r.ɔ.n	a.w.o.n	β.i.tsʲ.a.k.w.e	ʔ.a.fʷ.e.n.tʃ.e	tʰ.i.w.i	ɢ.a.s.χ.a	q.o.j.o	w.e.ɾ.i	ʃ.i.k.ɾ.e	t̻.u.ɭ.p.u	b.a.ʐ.a.ts.u.i	i.ʂ.a	k.i.r.i.t.a.m.ɨ	b.i.d.i.k.ɨ̃.h.ɨ	d.o.m.u	ʃ.i.t.ʃ.u	r.u	p.x.i.ʔ.j.u.ɛ.ʔ	t.u.w.a.f.i.ɡ	h.o.ʃ.i.ʔ	tsʰ.i.s.kʰʷ.a
bitter	a.m.a.ɾ.ɡ	kʰ.u	k.o.r.o	m.u.ɾ.ɾ	p.a.i.t	tʃ.eː.d.u	a.dʒ.ɯ	n.i.ɡ.a	ɗ.ă.ŋ	kʰ.o.m	s	m.a.k.e.tʃ	k.ɛ.ʃ.ɛ.r.u	a	tʃ.a.q.a.q	k.a.ʃ.ʊː.n	d.i.dʒ	kʼ.a	x.e.ʔ.ẽ.mb.ɨ	m.tsʼ.a.r.e	k.ɑ.ɑ		kʼ.a.ʎ.kʼ.u	ɲ.u	i.ʃ	s̺.a.m.i.n		ʃ.ṵː.n	a.u	m.a.l.i	m.ʊ.k.ɘ.r	kʰ.a.m.e.r.i	w.iː.s.a.k.w.a.n		t.a.m	ɲ.ə.ŋɡ.i	t.a.x.p.l.a	j.a.p.a	o.r.e.ɡ.e.a		ɡ!.a.ʔ.a	s.u.ŋ.ɑ.nː.i.p	q.a.q.a.m	f.e.a.r.ə	a.p.a.r.a	m.a.i.h	e.p.o	j.aʰ	t.a.p.a.j	tlʼ.w.e.e	ɢ.o.s.i.χ.o.n	tʃ.i.m	ŋ.u.tʃ.ḭ.ʔ.a	f.a		a.ts.a.x.a	m.o.k.a	k.o.a.m.i	s.ɨ̃.e	a.h.e.ɾ.a		m.t.a.x		m.i.a.k.l.a	t.a.k.b.a.h	ɨ.j.ə.s.t.i
black	n.e.ɡ.ɾ	x.ə.i	d.u.d.u	ʔ.e.s.w.i.d	i.ɽ.ə.ŋ	n.a.l.l.a	k.a.ɾ.a	k.ɯ.r.o	ɗ.ɛ.n	d.a.m	k.a.m.a	t.e.ŋ	f.ɛ.k.ɛ.t.ɛ	tɬ.o	j.a.n.a	x.a.r	fˀ.i.tsˀ.ə	qʼ.e.q	x.ũ	ʃ.a.v	p.u.mb.u.t.i		tʃʼ.i.j.a.r.a	m.b.o.i	m.ɨ.tʃ.iː.j.a	b.e.l.ts̥	d.ɾ.u.n.e	ts.ḭ.ts.a̰.q.a	ŋǂ.u.u	t.a.r.o	k.ʊ.r.ɘ	t.u.ɽ.i.p.i.t.i	k.a.s.k.i.t.iː.w.i	ʃ.ĩː.ɬ	j.ɨ.k	ŋɡ.ə.l.ə	s.i.k.s.a	m.u.k.u.s.a	pʰ.a.i.m.a		dʒ.o	q.ɜ.nː.ɜ.tː.o.q	m.a.t.u.m	n.o.k.o.m.o.m	m.u.u	r.i.k.u.t.u.n	b.u.n.d	k.h.ũ.tsʲ	tʃ.a.l.a.χ	kʼ.a.ŋ.kʼ.a.r.a	s.a.χ.a.l.	n.a.w.e.ʔ	w.ḛ̃.ʔ.ḛ̃	ʃ.ɐ	m.a.ɽ.u	h.i.a.l.i	tʃ.ɯ.ʂ.ɯ	i.ʃ.ĩ	s.ɨ.d.i	a.n.a	t.ɨ.l	s.a.ɸ.e	ɨ.n.ɨ.k.u.a.ʔ	j.i.m.i.l.i.ɡ	l.o.s.a	k.ə.n̥.a.k.e
blood	s.a.n.ɡ.ɾ.e	ɕ.i.e	e.dʒ.e	d.a.m.m	ɡ.ə.t.i.h	ɾ.a.k.t.a.m	k.a.n	t.i	m.ă.w	l.ʉ.a.t	pʰ.i	r.ɛ.m.ɔ	v.eː.r	ɳʈʂʰ.a.ŋ	j.a.w.a.r	tʃ.ʊ.s	ɮ.i	k.i.kʼ	t.u.ɰ.u.ɨ	s.i.s.x.l	t.ɑ.e.j.o.k.o	e.s	w.i.l.a	x.i	i.ʃ.a	o.d.o.l	d.o.r.i	q.a̰.ɬ.n.ḭ	ŋ̊ǀˀ.a.o	a.u	m.ö.ʎ.f.ɘ.n	j.u.ɽ.i.r.i	m.i.h.k.w	t.i.ɬ		w.ə.ɲ	t.a.l.a	n.u.m.p.a	o.a		n‼.oˤ.l.u	aː.k	m.u.l.t.a.n	h.a	i.n.n.a	m.ɨ.n	s.ɨ.l.ɨ.j.e.n	e	ʔʷ.i.j.i.s	!ʼ.a.a.k.a	s.ə.ŋ.ɡ.i	t.a.ɡ.o.ʔ.q	ɡ.ɨ	k.ɨ.ɡ.ŋ.ɡ.w.e.d.ɲ	m.i.l.k.a.ɭ.i	h.a.n.ã	h.i.m.i	i.ə̃	d.iː	h.o.t.u	a.j.m.p.i	m.e.s		t.a.f	i.s.s.i.ʃ	k.i.k.ə
bone	w.e.s.o	k.u	ɛ.ɛ.ɡ.ũ	ʕ.a.dˤ.m	b.a.l.u.ŋ	e.m.o.k.a	c.e.m.i.c	h.o.n.e	s.ɯə.ŋ	k.r.a.d.uː.k	p.j.ʌ	tʃ.o.ɡ.o	tʃ.o.n.t	tsʰ.a.ŋ	t.u.ʎ.u	j.a.s	qʷ.p.ɕ.ħ.ə	b.a.q	k.ã	dz.v.a.l	k.u.ɽ.i	o.m.i	tʃʼ.a.kʰ..a	n.d.o.ʔ.j.o	x.iː.p.ɨ	e.s̥.u.r		l.u.k.u.t	ǂχ.o.o	k.o.b.o	f.ö.ʐ.ö	u.n.i	s.k.a.n	tsʼ.i.n	p.a.k	a.p.a	d.u.s.a	u.k.u.n.tʃ	b.ɨ.b.ɨ.rʼ.ɨ		!ʔ.u	s.aː.n.ɜ.q	t.e.n	b.o	k.a.a.n.a	j.e.h.p.ɨ.t.ɔ.n	a.m.o	dʲ.iˀ.tʰ	ɬ.e.tʃʔ.e	!.i	ɡ.i.r.a.ŋ.ɡ.i	p.i.ʔ.i.n.e.k	tʃ.i.n.a̰.ʔ.ã	k.u.k.a	t.a.r.k.a	p.e.s.ɨ	ʂ.a.o	ũ	õ̰.a	m.u.h.u	t.ʃ.ɨ̥	m.t.a.i	i.ʔ.w.e.k.ʔ.a.ʔ	k.i.ɡ	f.o.n.i.ʔ	k.o.ɬ.a
